building_title,id,organization,total_amount,group,height,start_month,start_day,start_year,completion_year
Eleven-Eleven Third Avenue,,,40,office,454,,,1980,1980
Crowne Plaza Hotel Downtown Seattle,,,39,hotel,351,,,1980,1980
Metropolitan Park West,,,37,office,259,,,1980,1980
Bank of America Fifth Avenue Plaza,,,41,office,543,,,1980,1981
One Union Square,,,38,office,456,,,1980,1981
Westin Building,,,41,office,409,,,1980,1981
Continental Place,,,41,residential,349,,,1980,1981
Westin Seattle North Tower,,,40,hotel,449,,,1980,1982
Sheraton Seattle Hotel,,,40,hotel,371,,,1980,1982
First Hill Plaza,,,39,residential,349,,,1980,1982
Bay Vista Tower,,,35,residential,250,,,1980,1982
Wells Fargo Center,,,40,office,574,,,1980,1983
520 Pike Tower,,,41,office,360,,,1980,1983
Renaissance Seattle Hotel,,,41,hotel,325,,,1980,1983
Blanchard Plaza,,,40,office,223,,,1980,1983
Columbia Center,,,41,office,933,,,1980,1984
Qwest Building,,,43,office,186,,,1980,1985
1000 Second Avenue,,,43,office,493,,,1980,1986
Century Square,,,34,office,381,,,1980,1986
King County Correctional Facility,,,37,office,240,,,1980,1986
1201 Third Avenue Tower,,,40,office,772,,,1980,1988
Westlake Center,,,21,multi-purpose,345,,,1980,1988
Metropolitan Park East,,,28,office,279,,,1980,1988
Market Place Tower,,,35,residential,249,,,1980,1988
Two Union Square,,,30,office,740,,,1980,1989
City Centre,,,34,office,606,,,1980,1989
Arbor Place Tower,,,29,residential,256,,,1980,1989
Seattle Municipal Tower,,,28,office,722,,,1990,1990
1800 Ninth Avenue,,,30,office,236,,,1990,1990
Second & Seneca Building,,,34,office,315,,,1990,1991
Centennial Tower and Court,,,34,residential,262,,,1990,1991
Newmark Tower,,,33,residential,230,,,1990,1991
Harbor Steps Southeast,,,25,residential,267,,,1990,1994
One Pacific Tower,,,25,residential,259,,,1990,1995
W Hotel,,,32,hotel,318,,,1990,1999
Metropolitan Tower,,,33,residential,305,,,2000,2001
Elliott Grand Hyatt Seattle,,,22,hotel,285,,,2000,2001
Millennium Tower,,,28,multi-purpose,272,,,2000,2001
Meridian,,,21,residential,253,,,2000,2002
Fourth and Madison Building,,,27,office,512,,,2000,2003
United States Federal Courthouse,,,27,multi-purpose,390,,,2000,2004
Seattle Central Library,,,22,office,196,,,2000,2004
Cristalla,,,31,residential,240,,,2000,2005
Russell Investments Center,,,23,multi-purpose,598,,,2000,2006
Madison Tower,,,27,multi-purpose,240,,,2000,2006
Cosmopolitan,,,25,residential,330,,,2000,2007
Seattle Sheraton Union Street Tower,,,30,hotel,265,,,2000,2007
Fifteen Twenty-One Second Avenue,,,20,residential,440,,,2000,2008
Fifth and Madison,,,20,residential,255,,,2000,2008
818 Stewart,,,25,office,220,,,2000,2008
1918 8th Avenue,,,21,multi-purpose,500,,,2000,2009
Olive 8,,,20,multi-purpose,455,,,2000,2009
West 8th,,,26,office,360,,,2000,2009
Escala,,,20,residential,360,,,2000,2009
The Olivian,,,25,residential,297,,,2000,2009
Fifth and Yesler Tower,,,24,office,241,,,2000,2009
Enso at 2201 Westlake,,,24,multi-purpose,208,,,2000,2009
Aspira Apartments,,,25,residential,407,,,2010,2010
Via6 North Tower,,,27,residential,267,,,2010,2013
Via6 South Tower,,,27,residential,267,,,2010,2013
The Martin,,,18,residential,255,,,2010,2013
The Wave,,,27,residential,270,,,2010,2014
Premier on Pine,,,26,residential,444,,,2010,2015
Cirrus,,,26,residential,440,,,2010,2015
Insignia South Tower,,,24,residential,440,,,2010,2015
Cielo,,,23,residential,335,,,2010,2015
Amazon Tower I,,,18,office,524,,,2010,2016
Insignia North Tower,,,24,residential,440,,,2010,2016
Midtown21,,,24,office,322,,,2010,2016
Luma,,,26,residential,240,,,2010,2016
Embassy Suites Stadium Place,,,24,hotel,-,,,2010,2016
The Mark,,,19,multi-purpose,646,,,2010,2017
Madison Centre,,,18,office,560,,,2010,2017
Amazon Tower II,,,22,office,521,,,2010,2017
2nd and Pine,,,25,residential,445,,,2010,2017
AMLI Arc Tower,,,17,multi-purpose,442,,,2010,2017
Kinects,,,24,residential,440,,,2010,2017
Tower 12,,,21,residential,386,,,2010,2017
Dimension,,,24,residential,255,,,2010,2017
Avalara Hawk Tower,,,23,office,240,,,2010,2017
Hyatt Regency Seattle,,,17,hotel,521,,,2010,2018
Stratus,,,16,residential,440,,,2010,2018
Kiara,,,24,residential,440,,,2010,2018
2nd & Pike Tower,,,20,residential,440,,,2010,2018
McKenzie,,,18,residential,434,,,2010,2018
Ascent South Lake Union,,,21,residential,275,,,2010,2018
Residence Inn Marriott,,,15,hotel,193,,,2010,2018
Amazon Tower III,,,16,office,520,,,2010,2019
2&U,,,14,office,500,,,2010,2019
Arrive,,,17,multi-purpose,440,,,2010,2019
Nexus,,,15,residential,440,,,2010,2019
1120 Denny Way North Tower,,,19,multi-purpose,426,,,2010,2019
1120 Denny Way South Tower,,,17,residential,414,,,2010,2019
Second & Wall,,,11,residential,255,,,2010,2019
Rainier Square Tower,,,17,multi-purpose,850,,,2020,2020
Spire,,,12,residential,440,,,2020,2020
The Emerald,,,23,residential,439,,,2020,2020
